Country,,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Italy,,,..,..,..,..,..,..,"57,653.00",..,..,..,"67,163.00",..,..,"71,447.59","71,882.62","72,400.33","73,781.33","76,930.18","78,435.20","74,568.17","77,235.62","79,187.52","85,028.10","79,568.92","76,957.36","80,600.54","79,935.04",..,..
Japan,,,"516,051.74","517,107.00","516,117.31","509,104.90","503,368.55","529,435.48","523,538.23","531,260.38","543,481.19","548,740.28","552,474.43","554,029.53","560,213.53","579,418.02","585,375.66","586,529.47","576,602.67","569,689.77","557,101.81","502,603.76","513,756.38","501,288.05","482,361.63","447,072.72","426,491.71","439,431.75","436,088.45","431,324.46","427,529.02"
Korea,,,"1,270,039.97","1,284,001.18","1,296,664.52","1,289,105.60","1,353,440.83","1,374,505.10","1,386,969.52","1,379,301.65","1,330,779.96","1,354,370.00","1,374,774.03","1,349,333.28","1,373,167.46","1,379,116.92","1,371,688.86","1,378,770.81","1,357,162.21","1,393,190.47","1,321,204.29","1,248,422.29","1,302,549.97","1,353,603.93","1,396,323.77","1,407,809.07","1,358,344.55","1,319,800.19","1,302,842.08","1,289,239.53","1,238,342.71"
Latvia,,,"292,939.00","316,235.00","343,147.00","378,762.00","403,832.00","437,295.00","471,119.00","500,821.00","430,226.00","468,287.00","501,430.00","514,637.00","536,010.00","546,328.00","555,171.00","559,146.00","564,456.00","579,527.00","592,709.00","597,564.00","657,428.00","682,945.00","687,126.00","696,749.00","690,944.00","692,924.00","694,066.00",..,..
Lithuania,,,"26,288.57","24,408.85","19,652.62","16,239.32","14,312.39","12,939.94","12,978.33","12,418.47","11,917.00","11,132.15","10,510.98","11,087.90","11,059.95","11,245.12","11,220.30","11,401.24","11,887.89","12,340.27","11,869.85","11,188.03","12,261.65","11,475.00","11,296.59","11,225.74","11,128.46","11,179.08","11,170.15","11,216.83","11,715.67"
Luxembourg,,,"48,016.43","50,014.70","30,804.47","24,733.05","23,313.27","22,332.61","23,384.19","22,935.82","23,918.89","21,059.86","19,523.18","20,317.59","20,680.25","20,844.98","21,702.41","22,801.83","23,095.70","25,282.98","24,376.28","20,068.47","20,887.60","21,462.69","21,396.48","20,167.64","20,110.69","20,400.43","20,420.35","20,617.61","20,266.83"
Mexico,,,"12,741.06","13,382.78","13,146.80","13,293.45","12,468.53","10,091.81","10,155.26","9,503.14","8,622.18","9,087.98","9,669.11","10,158.18","10,934.88","11,376.30","12,766.97","13,009.12","12,838.07","12,253.93","12,135.10","11,587.58","12,169.06","12,046.25","11,773.25","11,234.48","10,776.85","10,290.10","10,050.69","10,235.70","10,547.16"
Netherlands,,,"444,741.58","453,231.87","455,133.32","458,498.73","482,721.51","471,385.13","493,529.77","517,909.70","543,847.61","529,229.90","544,660.10","537,610.98","557,652.41","563,298.30","574,316.76","592,587.22","616,361.70","646,665.30","691,822.34","671,577.38","669,084.03","681,190.36","673,721.90","683,120.59","686,159.50","699,564.27",..,..,..
New Zealand,,,"220,740.87","228,385.56","229,110.63","229,867.60","230,750.53","230,937.80","241,763.55","233,603.08","234,161.16","220,828.43","219,239.07","219,714.05","217,608.56","218,291.27","219,893.84","214,226.59","209,176.56","207,676.79","207,040.28","201,382.08","213,281.34","199,175.46","195,272.04","194,878.14","187,184.61","195,422.37","194,991.61","192,876.47","187,756.39"
Norway,,,"63,590.93","64,453.52","65,668.78","65,433.40","66,679.18","67,426.24","69,549.34","72,259.28","70,221.38","72,059.93","74,103.08","77,105.36","77,474.96","79,643.61","79,294.83","81,274.42","81,455.21","79,415.58","79,526.33","76,771.18","77,267.81","76,975.49","79,401.58","78,804.91","79,449.84","79,493.71","77,623.31","79,640.86","78,862.29"
Poland,,,"51,459.02","49,199.53","47,536.73","49,405.88","51,267.85","51,620.17","54,604.38","54,596.46","54,758.82","55,717.70","55,114.75","56,348.39","55,289.87","55,795.67","56,190.76","55,403.47","55,355.14","57,008.71","55,587.36","53,179.20","55,468.97","54,643.09","54,121.12","53,969.36","53,930.25","54,353.97","53,472.21","52,386.53","52,022.41"
Portugal,,,"475,080.32","463,126.70","450,485.86","450,327.26","444,648.99","446,722.54","460,555.49","450,448.67","420,050.15","408,500.81","395,949.88","394,895.90","385,174.51","398,551.08","404,101.55","404,459.53","419,741.76","419,497.50","413,124.39","394,084.80","412,926.32","412,006.11","404,526.56","401,147.19","388,469.51","391,674.13","400,268.49","414,679.37","412,856.37"
Slovak Republic,,,"58,558.61","60,519.11","64,463.09","62,938.84","63,906.05","68,546.69","66,206.28","69,401.65","74,238.09","82,290.12","81,528.17","81,121.33","85,574.06","80,229.86","83,350.56","85,503.56","80,733.33","78,449.14","76,066.24","72,999.62","68,749.86","67,356.05","65,466.54","63,611.13","63,520.26","67,698.41","65,865.83","70,447.04","67,280.28"
Slovenia,,,"73,517.13","64,096.67","58,415.82","55,050.77","52,701.64","53,302.33","53,189.63","53,130.67","52,525.60","51,197.48","49,291.58","51,564.19","50,196.23","50,412.28","51,271.02","51,271.66","51,168.78","49,417.37","49,935.39","45,653.72","46,405.54","45,704.01","43,185.82","42,855.65","40,791.62","41,830.68","42,316.79","43,475.29","43,348.35"
Spain,,,"18,609.59","17,289.67","17,371.45","17,555.31","17,944.60","18,634.26","19,281.69","19,647.74","19,411.18","18,788.62","19,037.60","19,952.64","20,121.41","19,844.10","20,156.02","20,456.75","20,625.26","20,789.28","21,514.46","19,530.10","19,555.22","19,565.61","19,004.84","18,307.64","16,575.01","16,750.90","17,607.61","17,366.76","17,502.14"
Sweden,,,"289,383.33","296,990.56","306,740.10","296,219.09","312,944.73","328,901.25","321,217.52","335,660.95","345,704.24","373,171.35","388,776.13","386,579.77","404,906.86","412,869.59","428,860.79","443,439.52","436,395.82","447,253.68","413,027.78","373,425.05","358,858.91","358,230.88","350,958.86","324,693.22","326,815.62","338,254.29","326,890.38","340,298.29","334,255.16"
Switzerland,,,"71,184.93","71,428.09","70,970.22","71,276.38","73,788.74","73,120.48","77,087.95","72,084.29","72,549.44","69,454.61","68,114.65","68,934.26","69,642.10","70,017.22","69,455.15","66,624.03","66,247.36","65,129.16","62,753.43","58,496.75","64,467.31","60,131.47","57,294.30","55,607.71","53,846.36","53,739.18","53,285.94","52,715.03","51,779.24"
Turkey,,,"53,778.90","55,658.49","55,396.14","52,921.29","51,914.23","52,829.75","53,432.35","52,303.07","53,869.04","53,658.47","53,080.70","54,601.12","53,068.38","54,095.78","54,698.08","55,414.42","55,022.40","53,159.34","54,524.83","53,082.11","54,726.72","50,615.83","52,037.42","52,816.49","48,877.39","48,412.50","48,725.31","47,873.19","46,332.51"
United Kingdom,,,"219,367.81","226,756.07","232,975.38","240,316.70","234,287.67","247,761.96","267,396.69","278,626.96","280,231.00","277,650.22","298,759.82","280,301.38","286,003.42","305,260.93","314,668.94","337,139.73","358,291.53","391,422.39","387,590.13","395,596.00","398,882.58","427,830.53","447,254.81","439,325.69","458,368.97","472,595.01","497,741.90","523,752.84","520,941.59"
United States,,,"797,812.04","807,236.09","786,435.91","767,022.50","758,171.05","751,691.01","773,629.78","748,416.32","747,129.66","716,725.96","716,279.71","719,097.19","699,596.36","706,682.23","703,280.27","695,430.66","688,259.17","676,546.33","656,112.47","600,031.69","614,493.22","567,259.49","583,865.70","570,218.68","529,981.28","512,121.42","486,371.70","475,259.77","465,931.88"
